area_pix,aspect_ratio,mean_yfp,mean_mch,position,strain,atc_ngml,xan_mgml,promoter
864.0,0.11944618357857435,110.91087962962963,435.77199074074076,3.0,dilution,0.0,0.0,wt
412.0,0.18639721057048184,107.80339805825243,424.7742718446602,3.0,dilution,0.0,0.0,wt
779.0,0.20245274378311467,108.32734274711169,430.2451861360719,3.0,dilution,0.0,0.0,wt
287.0,0.36547997636053103,108.79442508710801,472.0278745644599,3.0,dilution,0.0,0.0,wt
281.0,0.3571649056972196,108.90747330960853,455.5444839857651,3.0,dilution,0.0,0.0,wt
319.0,0.43565604581211254,109.40752351097179,413.5485893416928,3.0,dilution,0.0,0.0,wt
386.0,0.2976280557565442,107.87823834196891,417.9119170984456,3.0,dilution,0.0,0.0,wt
370.0,0.3385944547564276,108.76216216216216,428.34864864864863,3.0,dilution,0.0,0.0,wt
545.0,0.30844440018816094,109.81834862385321,455.79633027522937,3.0,dilution,0.0,0.0,wt
867.0,0.1875159057408038,119.38869665513265,426.9273356401384,3.0,dilution,0.0,0.0,wt
564.0,0.2085248005939452,111.00709219858156,400.35460992907804,3.0,dilution,0.0,0.0,wt
516.0,0.22385195950657313,111.82170542635659,432.4593023255814,3.0,dilution,0.0,0.0,wt
488.0,0.4769300813199831,106.91598360655738,653.0450819672132,3.0,dilution,0.0,0.0,wt
295.0,0.2877780912456005,108.4271186440678,501.76949152542375,3.0,dilution,0.0,0.0,wt
368.0,0.23421447107790025,109.50271739130434,452.9701086956522,3.0,dilution,0.0,0.0,wt
336.0,0.3084350314882666,107.66369047619048,475.19940476190476,3.0,dilution,0.0,0.0,wt
260.0,0.31922573466652515,109.25769230769231,483.73846153846154,3.0,dilution,0.0,0.0,wt
252.0,0.34452894722296895,108.28174603174604,515.0515873015873,3.0,dilution,0.0,0.0,wt
334.0,0.2428229483943953,109.79041916167665,444.44610778443115,3.0,dilution,0.0,0.0,wt
425.0,0.2655682233404588,109.59764705882353,482.69176470588235,3.0,dilution,0.0,0.0,wt
351.0,0.25631532493089676,110.62962962962963,437.42450142450144,3.0,dilution,0.0,0.0,wt
368.0,0.26840725836846396,109.3586956521739,415.4429347826087,3.0,dilution,0.0,0.0,wt
485.0,0.2503649575988799,111.71134020618557,421.0577319587629,3.0,dilution,0.0,0.0,wt
561.0,0.17889793232781104,114.84848484848484,443.3636363636364,3.0,dilution,0.0,0.0,wt
314.0,0.3260146118162706,109.87579617834395,443.96815286624206,3.0,dilution,0.0,0.0,wt
859.0,0.17538452456236128,111.31781140861467,412.43073341094293,3.0,dilution,0.0,0.0,wt
522.0,0.26929953027030246,107.73946360153256,406.7988505747126,3.0,dilution,0.0,0.0,wt
382.0,0.23853301894560883,109.13089005235602,420.2303664921466,3.0,dilution,0.0,0.0,wt
356.0,0.2903762959940642,108.75,424.1629213483146,3.0,dilution,0.0,0.0,wt
421.0,0.29122728736859066,112.94061757719714,424.7363420427553,3.0,dilution,0.0,0.0,wt
578.0,0.2731544472543511,108.46885813148789,452.87370242214536,3.0,dilution,0.0,0.0,wt
413.0,0.2706439113203948,113.6319612590799,426.9685230024213,3.0,dilution,0.0,0.0,wt
650.0,0.23128915557492769,108.50615384615385,409.0784615384615,3.0,dilution,0.0,0.0,wt
595.0,0.24761552343049625,112.56806722689076,408.67058823529413,3.0,dilution,0.0,0.0,wt
288.0,0.45937071077065506,111.68055555555556,409.2951388888889,3.0,dilution,0.0,0.0,wt
300.0,0.44334765185228137,112.44333333333333,411.71,3.0,dilution,0.0,0.0,wt
626.0,0.23132203935142404,107.69488817891374,373.5399361022364,3.0,dilution,0.0,0.0,wt
644.0,0.23792433979005598,109.74378881987577,427.6552795031056,3.0,dilution,0.0,0.0,wt
823.0,0.15029286268364334,109.97934386391252,438.08019441069257,3.0,dilution,0.0,0.0,wt
554.0,0.31325582932250784,108.74548736462094,418.1480144404332,3.0,dilution,0.0,0.0,wt
429.0,0.2816053397911424,109.35664335664336,404.965034965035,3.0,dilution,0.0,0.0,wt
454.0,0.28375402683983625,107.79735682819383,401.7753303964758,3.0,dilution,0.0,0.0,wt
412.0,0.1946919597547262,114.41504854368932,468.95631067961165,3.0,dilution,0.0,0.0,wt
368.0,0.3590233558884254,107.87228260869566,410.07880434782606,3.0,dilution,0.0,0.0,wt
320.0,0.3301133605130375,107.734375,401.165625,3.0,dilution,0.0,0.0,wt
356.0,0.30718454503426085,113.45505617977528,412.8426966292135,3.0,dilution,0.0,0.0,wt
370.0,0.3600276284549352,109.45135135135135,399.8540540540541,3.0,dilution,0.0,0.0,wt
441.0,0.2674468096128662,110.79591836734694,424.5283446712018,3.0,dilution,0.0,0.0,wt
374.0,0.2590012083778067,114.63101604278074,419.2566844919786,3.0,dilution,0.0,0.0,wt
440.0,0.2080396820658857,111.21363636363637,424.7704545454545,3.0,dilution,0.0,0.0,wt
324.0,0.31634324420930604,110.49382716049382,439.5524691358025,3.0,dilution,0.0,0.0,wt
440.0,0.275009443705984,108.80454545454545,429.01363636363635,3.0,dilution,0.0,0.0,wt
331.0,0.24123234880321873,110.06042296072508,413.17824773413895,3.0,dilution,0.0,0.0,wt
449.0,0.31094689080302607,109.11581291759465,416.83073496659244,3.0,dilution,0.0,0.0,wt
701.0,0.22323003994130244,109.14978601997147,411.3181169757489,3.0,dilution,0.0,0.0,wt
292.0,0.2674262868671018,110.04794520547945,375.0,3.0,dilution,0.0,0.0,wt
267.0,0.2961862294332717,111.31460674157303,377.2209737827715,3.0,dilution,0.0,0.0,wt
526.0,0.24851860090012626,109.31749049429658,401.04562737642584,3.0,dilution,0.0,0.0,wt
325.0,0.4136801196373698,109.2523076923077,417.67384615384617,3.0,dilution,0.0,0.0,wt
355.0,0.3932398450445393,109.09295774647887,413.0281690140845,3.0,dilution,0.0,0.0,wt
